alcohol_no,name,type,rep_ingredients,ingredients,alcohol,size,prize,etc,tags,desc,food,brewery,brewery_address,brewery_page,brewery_tel,sweet,sour,scent,body
491,오계리 아이스와인,과실주,포도,영천포도,14,375,,,,경북 영천에서 직접 재배한 포도로 만든 오계리 와인은 풍부한 과실향과 아름다운 빛을 띄는 프리미엄 와인입니다. 초겨울 언 상태의 포도로 만든 아이스 와인은 당도가 높아 달콤한 맛이 매력적입니다.,"디저트 요리 (까나페, 케이크, 아이스크림 등)",오계리 와이너리,경상북도 영천시 금호읍 오계2리 542-4,https://smartstore.naver.com/ogyeri/,1030000000,3,2,3,2
492,오곡 진상주,탁주,쌀,"쌀, 밀, 보리, 옥수수, 조",7,750,,,,"대강양조장에서 생산하고 있는 오곡 진상주는 이름처럼 쌀, 밀, 옥수수, 보리, 조 의 다섯 가지의 곡류로 만들어 마시는 이의 건강을 생각하였으며, 담백하고 고소한 맛이 일품인 막걸리입니다. 청와대에 납품될 정도로 그 완성도 또한 뛰어나 어떤 안주에 곁들여도 손색이 없는 막걸리라는 평가를 받습니다.",여러 가지 곡물 볶은 향과 알코올 발효취가 올라오며 단맛보다 산미가 강합니다. 고소한 맛이 특징입니다. 백설기와 잘 어울립니다.,대강양조장,충북 단양군 대강면 대강로 60,http://www.krwine.com,043-422-0077,2,5,3,3
493,오드린 베베마루 아내를 위한,과실주,포도,포도,10,375,,,파티|저도수,"이름 그대로 남편이 아내를 위해 만든 와인으로, 영동 월류봉 자락에서 3대째 재배중인 토착 품종 ""캠벨얼리""를 숙성하여 만들었다. 체리와 딸기, 장미, 허브향 등의 향이 풍부하게 느껴지며 후미에 민트향이 깔끔한 맛을 준다. 시그니쳐기술을 이용해 알콜도수를 10도로 낮추고 포도의 풍미는 극대화하여 당도, 탄닌, 바디감이 균형을 이룬다.","양념치킨, 양념불고기",월류원,충북 영동군 황간면 남성동3길 4-14,https://shopping.naver.com/fresh/traditionalalcohol/stores/100235003,010-2466-7789,2,1,3,2
494,오디랑,과실주,오디,"오디, 정제수, 과당, 주정, 구연산, 효모",13,330,,,소용량,"원재료 생산지부터 차별화된 프리미엄급 술 ""오디랑""은 단맛과 신맛이 조화로운 새콤달콤한 맛이 일품으로, 생산과정의 깐깐함은 국순당 고창명주의 자존심이 그대로 담겨 있습니다. 어느 서양의 고급 과실주와 견주어도 뒤쳐지지 않을 만큼 매혹적인 흑CD00000233 색감과 짙은 향은 우리 술의 매력을 느끼기에 충분합니다.",검붉은 색을 가지고 옅으면서 달콤한 과실향이 올라옵니다. 첫맛은 달콤하고 그 뒤로 약한 쓴맛이 입 전체에 자리를 잡습니다. 알코올의 맛이 입과 식도를 뜨겁게 하지만 먹고 난 후 입 안은 깔끔합니다. 양념된 고기류와 잘 어울립니다.,국순당 고창명주,전북 고창군 심원면 선운대로 2197,http://bokbunjaju.kr/,063-564-9800,4,4,4,4
495,오디아락40,증류주,오디,오디증류주원액,40,500,,,베리류,오디아락은 고창산 오디를 저온 숙성하여 은은한 오디향과 오디 천연의 감미를 최대한 끌어올린 제품이다. 새콤달콤한 오디의 향과 맛이 입안을 감싸며 은은하게 퍼져 부드럽게 즐길 수 있다.,,배상면주가,경기도 포천시 화현면 화현리 512,https://www.soolsool.co.kr/,031-531-9300,2,2,3,4
496,오디여라,증류주,오디,"오디증류원액, 정제수, 올리고당",25,375,,,베리류,"국내산 유기농 오디와 국내 기술로 분리해 낸 토종 베리효모를 사용하여 저온 발효, 오크통 숙성으로 부드럽고 풍부한 오크향을 부여한 술이다.","육류 및 치즈, 해산물 등.",전주이강주,전북 완주군 소양면 신지송광로 619-12,https://smartstore.naver.com/leegangju,632000000,1,0,4,2
497,오매락,증류주,배,"배를 증류한 원액, 정제수, 설탕, 매실, 오매",40,500,,,,국산 배증류원액과 구운매실(오매)로 빚어 향온 암실에서 숙성한 40도 고도주 오매락(烏梅樂)입니다. 입안 가득 퍼지는 매실의 맛과 향이 매력적인 술로 알콜도수가 부담스럽다면 온더락으로 즐길 수 있습니다.,"닭고기, 부침개",배상면주가,경기도 포천시 화현면 화현리 512,https://www.soolsool.co.kr/,031-531-9300,1,1,3,5
498,오매락퍽,리큐르/기타주류,배,배,40,500,"2012 대한민국우리술품평회 장려상 (리큐르 부문), 2014 대한민국우리술품평회 장려상 (리큐르 부문)",,이색전통주,‘오매락’은 매실을 뜻하는 ‘오매’와 증류주를 의미하는 ‘아락’의 합성어다. 최고의 맛과 품질을 위해 꿀배로 유명한 전라남도 나주배 증류원액과 청매실로 빚어 황토로 구운 토기 안에 담아 만든 프리미엄전통주다. 내장된 나무망치로 토기를 깨뜨려 술을 꺼내는 참신하고 독특한 디자인이 특징이다. 토기를 깨는 것은 새로운 시작과 성장을 축하하는 의미를 담아냈다. 토기를 깨는 순간의 유쾌한 소리와 손맛은 특별한 날에 어울리는 색 다른 즐거움을 선사한다. 오매락퍽은 언더락스로 마시면 더욱 좋다.,"닭고기 오매락퍽속에 함유된 매실은 다양한 유기산을 함유해 닭고기와 같은 고단백, 고열량음식과 먹으면 배탈을 예방하고 소화에도 도움이 된다.",배상면주가,경기도 포천시 화현면 화현리 512,https://www.soolsool.co.kr/,031-531-9300,2,2,1,3
499,오매백주,탁주,쌀,"쌀, 국, 효모, 정제수",12,500,,,무감미료,오산백주는 오산에서 재배한 세마쌀을 주원료로 누룩과 물 이외에는 인공감미료를 넣지 않고 만든 전통 수제 막걸리입니다. 인위적인 탄산감이 없어 마시고 나서도 더부룩한 느낌이 들지 않고 갓지은 밥이나 누룽지에서 느껴지는 곡물 특유의 은은함이 입안에 번지는 고소한 막걸리입니다. 알코올 도수가 12도이지만 알콜취가 적고 담백하게 시작하다가 무게감을 지니고 끝맛은 드라이한 인상적인 막걸리입니다.,진한 살색 빛깔을 가지고 있으며 푹 익은 술에서 느낄 수 있는 캐러멜 맛이 입 안을 꽉 채워줍니다. 일반 막걸리에 비해서 도수(12%)가 높지만 단맛이 강해 부드럽게 느껴지고 술을 마시고 난 후에 긴 여운이 매력적인 술입니다. 같은 양조장에서 나오는 오산막걸리와는 완전히 다른 느낌입니다. 견과류와 잘 어울립니다.,농업회사법인 오산양조(주),경기도 오산시 시장길 63,http://osansool.com/,031-374-2139,4,2,1,4
500,오메기 맑은술,"약주, 청주",쌀,"좁쌀, 햅쌀, 정제수, 누룩",16,500,,2018 찾아가는 양조장,선물|홈술|무감미료,"오메기 맑은술은 맛이 진하고 부드러우며 달콤한 맛과 천연의 과실향이 나는 약주입니다. 제주도는 지정학적 특성상 논농사를 많이 지을 수 없어 쌀이 귀했고 대신 차조로 술을 빚어 왔습니다. 제주도의 특산품인 문고리처럼 생긴 떡을 쪄서 밑술을 하는데, 그 떡을 오메기떡이라해서 ""오메기술""이라고도 불립니다. 오메기는 좁쌀(차조)을 일컫는 제주도의 방언으로 누룩과 함께 발효시켜 윗부분의 맑은 술만을 떠내 숙성시킨 술이 ""오메기 맑은술""입니다.",고사리 등의 나물 무침,제주고소리술익는집,제주도 서귀포시 표선면 중산간동로 4726,http://jejugosorisul.com/,064-787-5046,3,3,4,3
501,오메기술,"약주, 청주",차조,"백미, 차조, 입국, 누룩, 효모",13,375,,2014 찾아가는 양조장,홈술|혼술,오메기 떡을 사용하여 누룩과 함께 발효시킨 제주 전통 약주이다. 적당한 바디감과 독특한 과실향이 조화롭게 어우러져 화이트 와인처럼 느껴진다. 도수 또한 낮아서 부담없이 가볍게 즐기기에 좋은 술이다.,"고사리 무침, 전",제주샘주,제주 제주시 애월읍 애언로 283,http://www.jejusaemju.co.kr,064-799-4225,2,2,3,1
502,오목대,리큐르/기타주류,보리,"보리, 맥아, 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수",5,1000,,,탄산|저도수,"""오목대""는 검은 빛이 감돌아 전주 한옥마을의 기와지붕을 떠올리게 하는 술입니다. 구운 맥아를 사용하여 초콜릿 또는 커피와 같은 구수하고 달콤한 향과 여운이 매력적인 제품입니다. 제조사 전주술로시티는 3013년 설립 때부터 국산 보리를 원료로 사용하여 제품을 생산하였으며 2018년부터는 전북의 무농약 보리를 사용하여 보다 자연친화적이고 맛 있는 술을 생산하고 있습니다.",구워진 곡물 맛을 그대로 느낄 수 있는 발포주. 진한 에스프레소와 같은 향도 있습니다. 기존의 흑맥주와 다른 점은 마지막에서 느껴지는 맛에 지극히 매끈한 부드러움을 가지고 있다는 것. 향은 진하지만 식감은 부드러운 독특한 맛이 특징입니다. 생맥주 대신 즐길 수 있는 술로 맥주와 어울리는 기름진 음식에 잘 맞습니다.,농업회사법인 동문거리양조장(주),전북 전주시 완산구 동문길99,http://www.moju.kr/,010-3677-3338,3,2,2,3
503,오미로제 스파클링 와인,과실주,오미자,오미자,12,750,,2015 찾아가는 양조장,파티|선물|홈술,"유기농 오미자를 원료로 정통 샴페인공법으로 제조한 세계 최초의 오미자 스파클링 와인. 향긋한 붉은 과일의 섬세한 버블이 코를 자극하며, 새콤달콤함이 입안 전체를 감싸안는다.",,문경주조,경상북도 문경시 동로면 노은리 192번지,https://mgomijasul.modoo.at/,054-552-8285,3,1,4,2
504,오미로제 연,과실주,오미자,오미자,8,750,,2016 찾아가는 양조장,저도수,"친환경 오미자를 샤르망 방식으로 만든 천연탄산의 오미자 스파클링 와인이다. 오미자, 복숭아, 라일락의 꽃향이 풍부하게 느껴진다. 당도가 적고 산도가 높으며 가벼운 바디감을 지니고 있다.","불고기,스테이크,오리요리",오미나라,경북 문경시 문경읍 새재로 609,http://www.omynara.com/,054-572-0601,3,1,4,2
505,오미로제 프리미어와인,과실주,오미자,오미자,12,750,,2016 찾아가는 양조장,선물|가성비,"""오미로제 프리미어와인""은 문경 백두대간의 깊은 계곡에서 재배한 유기농, 친환경 오미자를 원료로 유럽의 정통와인 양조 기법 그대로 발효 숙성한 세계 최초의 오미자 와인입니다. 오미자를 수확하여 발효하고 병에 담기기까지 3년 이상이 걸리는 제품으로 적당한 산도와 단맛의 조화로 전체적인 밸런스가 뛰어난 와인입니다.","끝없이 올라오는 수천 만개의 탄산과 오미자의 5가지 맛이 잘 어우러진 최고의 와인. 진한 한국음식과도 최고의 궁합을 선사합니다. 오미로제가 나오는 문경에서는 오미자 삼겹살, 더덕구이, 산나물, 그리고 송이버섯요리가 유명합니다. 전체적으로 모두 잘 어울리나, 자극성이 적은 나물과의 환상적인 궁합을 자랑합니다. 육류로는 양념을 한 고기류보다는 자극성 적은 한우구이와 즐긴다면, 이 술의 매력을 더 크게 느낄 수 있습니다.",오미나라,경북 문경시 문경읍 새재로 609,http://www.omynara.com/,054-572-0601,1,3,4,3
506,오미시앙 스페셜,과실주,오미자,"오미자, 주정, 설탕, 효모",12,500,,,,"소통하는 와이너리 알에프에서는 산뜻한 느낌의 와인인 오미시앙 스페셜을 만날 수 있습니다. 향긋한 향이 한껏 스쳐 지나간 뒤 올라오는 적당한 산미가 어느 유명 와인을 마시는 듯한 느낌을 받습니다. 장수의 국내산 오미자를 착즙, 발효, 숙성한 오미자와인과 정밀 여과로 깨끗하게 정제한 주정을 브랜딩하여 부드럽고 오미자의 5가지 맛과 특유의 향을 즐길 수 있습니다. 적당한 산미가 새콤하게 지나간 뒤 은근히 올라오는 12% 도수를 가진 오미시앙 스페셜은 기념일 등 특별한 날 함께 즐기기 좋은 와인입니다.",예쁜 로제와인 색이 아름답습니다. 오미자의 오미 중에서 단맛은 적지만 산뜻한 산미와 텁텁함이 혀를 자극시키며 목넘김이 매우 깔끔합니다. 생선 회와 잘 어울립니다.,알에프,전북 장수군 계남면 침곡로 11-26,-,036-351-6996,3,2,3,2
507,오미자 생막걸리,탁주,오미자,"정제수, 백미, 입국, 올리고당, 물엿, 허브, 오미자, 정제효소, 아스파탐, 아세셀펌칼륨",6.5,750,,2015 찾아가는 양조장,,"다섯 가지 맛이 난다고 하여 붙여진 이름처럼 문경주조의 오미자 막걸리는 마실 때마다 색다른 맛을 느낄 수 있습니다. 과하지 않은 달콤함과 새콤함의 조합은 입맛을 돋구기에 충분하고, 분홍빛 매력적인 색감으로 젊은 여성층이 즐기기에 좋은 막걸리입니다. 문경주조의 오미자주는 과실이 들어간 제 1호 막걸리 라는 타이틀을 가지고 있습니다. 또한, <오미자가 첨가된 건강 증진 기능성 오미자 생막걸리 및 그 제조방법>에 관한 특허<제10-10066459호>까지 받은 명실 상부한 대한민국 최초의 오미자 막걸리입니다.","산뜻한 오미자 특유의 산미 향이 코를 자극시키며, 오미자의 특징인 오미의 조화가 잘 갖춰진 색이 아름다운 막걸리입니다. 소고기 구이와 잘 어울립니다.",문경주조,경상북도 문경시 동로면 노은리 192번지,https://mgomijasul.modoo.at/,054-552-8285,3,3,3,2
508,오산막걸리,탁주,쌀,"쌀, 국, 효모, 정제수",6,500,,,무감미료,오산막걸리는 오산에서 재배한 세마쌀을 주원료로 누룩과 물 이외에는 인공감미료를 넣지 않고 만든 전통 수제 막걸리입니다. 인위적인 탄산감이 없어 마시고 나서도 더부룩한 느낌이 들지 않고 갓지은 밥이나 누룽지에서 느껴지는 곡물 특유의 은은함이 입안에 번지는 고소한 막걸리입니다. 감칠맛과 잔잔한 단맛 그리고 미세한 신맛이 어우러진 자연주의 막걸리입니다.,진한 아이보리 빛깔의 막걸리로 독특한 산미가 일품입니다. 술 맛은 전체적으로 단맛 보다 진한 산미가 술의 목넘김과 여운을 깔끔하게 만들어 줍니다. 술을 마시고 난 후에도 개운하고 아주 약하게 남는 곡물의 느낌이 음식과의 조화를 잘 갖추게 해줍니다. 고기류 보다는 홍어나 오징어 등 무침류와 잘 어울립니다.,농업회사법인 오산양조㈜,경기도 오산시 시장길 63,http://osansool.com/,031-374-2139,2,4,2,4
509,오크와인,과실주,머루,산머루,12,750,,,,,,하미앙 와인밸리,경남 함양군 함양읍 삼봉로 442-14,https://www.sanmuru.com,055-964-2500,3,1,4,2
510,오희 스파클링 막걸리,탁주,오미자,"백미, 건오미자, 조효소제, 효모, 정제수",8.5,500,,2015 찾아가는 양조장,탄산,오희 스파클링 막걸리는 문경시 특산물 오미자로 만든 천연탄산이 가득한 프리미엄 막걸리이다. 오희란 오미자에서 느낄 수 있는 다섯 가지 맛의 즐거움을 뜻하며 전통 막걸리와는 달리 선홍빛의 투명하고 탄산 맛이 강한 발포주에 가깝다. 2018년 평창동계올림픽에서 전국 전통주 제조사에서 출품한 250여 종의 경쟁 제품을 제치고 당당히 만찬주에 선정되어 세계인의 입맛을 사로잡았다.,술 빛이 붉은 오미자의 색을 그대로 닮았으며 고소한 향이 처음 강하게 올라왔다 사라지고 오미자의 신선한 향이 자리를 잡는다. 단맛이 적고 적절한 산미가 오미의 조화를 잘 갖추고 있으며 탄산이 있어 청량감이 좋고 목 넘김이 매우 깔끔하다. 오미자 특유의 산뜻한 산미가 소고기와 잘 어울린다.,문경주조,경상북도 문경시 동로면 노은리 192번지,https://mgomijasul.modoo.at/,054-552-8285,4,4,4,2
511,왕매실 막걸리,탁주,매실,"쌀, 매실원액",6,750,2012 대한민국우리술품평회 최우수상 (생막걸리 부문),,,"2002년도에 1,400여 농민들이 매실 10만본을 식재한 후 수확량이 현재 연간 100여 톤에 이르며 농식품부지원하에 가공, 생산하게 되었다. 왕매실막걸리는 우리 쌀과 100m 지하 암반수와 토종 매실로 빚어 매실특유의 신맛과 탄산이 있으며 상큼하고 부드럽다. 구연산이 들어있어 트림이 없고 소화가 잘된다.",꼬막전꼬막전은 삶아낸 꼬막의 살을 발라 달걀옷을 입혀 전을 부치는데 꼬막전의 기름기와 약간의 비릿한 냄새를 매실의 신맛과 탄산이 잡아주어 깔끔하게 마실 수 있다.,순성왕매실영농조합,충남 당진시 순성면 매실로 398,,041-354-1205,2,4,2,4
512,왕율주,증류주,밤,"쌀, 밤, 누룩, 정제수",25,330,,,,"""왕율주""는 공주산 밤에 국내산 백미로 빚은 국내에서 최초로 생산된 밤 증류주이다. 공주밤을 넣은 소주 답게 밤의 맛이 진하게 베어 나온다. 술을 입에 머물고 있으면 마치 생 고구마를 입에 물고 있는듯 단맛이 천천히 우러나온다. 프리미엄 증류주 답게 알코올 도수는 높으나 부드러운 맛을 간직하고 있다. 왕율주는 알코올 도수 40% 제품(공주밤 31.5% 함유)과 25% 제품(공주밤 23.5% 함유)이 출시되고 있다.","혀로 느겨지는 부드럽고 깜끔한 맛, 밤향을 머금고 있는 독특한 향기가 있다. 입안에 머금고 있으면 은근한 단맛이 느껴지고 뒤에 따라오는 적절한 쓴맛이 조화를 이룬다. 고도주임데도 불구하고 의외로 목 넘김이 부드럽다. 구이를 한 고기류 음식에 잘 어울린다.",사곡양조원,충남 공주시 사곡면 마곡사로 49,www.bamsul.com,041-841-9308,1,2,4,3
513,왕피천을 품은 미소생막걸리,탁주,쌀,"쌀, 누룩, 정제수",7,750,,,,울진 왕피천에서 올라오는 맑은 물 맛과 쌀 막걸리 특유의 부드러움과 하늘하늘한 가벼움이 느껴지는 막걸리입니다. 경상북도 울진군에서 생산되는 막걸리이며 할아버지에서 손자에 이르기까지 3대에 걸쳐 약 90여년이라는 시간을 통해 그 내력을 이어오고 있는 제품입니다. 자연환경생태보존지역인 울진의 깨끗한 자연환경에서 선물 받은 맑고 깨끗한 지하 암반수와 엄선된 원료 그리고 현대적인 위생시설에서 정성을 더하여 만들고 있습니다. 다른 막걸리 제품과는 달리 막걸리 본연의 맛을 유지하기 위해 알코올 도수 7%를 유지하고 있으며 천연탄산의 청량감과 새콤달콤한 맛의 특징을 가지고 있습니다.,대게 또는 홍게찜,울진술도가,경상북도 울진군 근남면 노음2길 4,,054-782-1855,3,3,4,4
514,요새로제,과실주,사과,"사과즙, 오미자, 라즈베리차, 정제수, 효모, 사관산, 탄산가스, 메타중아황산칼륨",6.4,750,,,홈술|저도수|혼술,인공색소나 착향료로 색과 향을 내지 않았습니다. 주 재료인 베리류의 산뜻함을 고스란히 담아 상큼하고 청량한 맛이 일품인 애플사이더입니다. 냉장보관 후 내용물이 잘 섞이게 흔들어 마시면 더 맛있게 즐길 수 있습니다.,"치킨, 파스타, 피자 등의 파티 음식",댄싱사이더컴퍼니,"충북 충주시 중앙탑면 인담길 35-1 (사이더리, 탭룸)",https://www.dancingcider.com/,043-844-1616,1,1,4,4
515,우곡생주,탁주,쌀,"쌀, 누룩, 효모, 정제수",10,750,2019 대한민국 우리술품평회 탁주부문 대상,2016 찾아가는 양조장,무감미료,우곡 생주는 일생을 전통주를 위해 헌신한 고 배상면 회장의 마지막 역작을 바탕으로 딸인 배혜정 대표가 아버지의 이념을 계승한 제품이다. 막걸리에 첨가물을 일절 사용하지 않아 인위적은 맛을 내지 않고 쌀 고유의 맛으로 빚은 막걸리이다. 일반 탁주와 달리 가수를 거의 하지않아 바디감이 휼륭하고 작은량의 생산만 되는 귀한 술이며 농후한 원주의 맛을 느낄 수 있다.,,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,4,2,1,5
516,우곡주,탁주,쌀,쌀,13,375,,2016 찾아가는 양조장,무감미료|소용량,"우곡주는 조선시대까지 양반과 부자층이 마셨던 주정 13도의 전통 탁주로 구연산이 주성분인 일반 탁주와 달리 젖산 외에 다양한 유기산을 풍부하게 함유하고 있어 별도의 조미료가 필요없는 자연의 맛 그대로 즐길 수 있는 술입니다. 우곡주는 식이섬유가 풍부하며 유산균의 기능성을 살려 소화효소 기능이 특출한 건강 지향적 프리미엄 전통탁주입니다. 일반 탁주와는 달리 희석하지 않아 재료가 발효되면서 생기는 수분이 전부이므로 요구르트처럼 새콤달콤하고 걸쭉하며 가수량이 매우 적은 귀한 술입니다. 우곡주는 오랜 연구를 통해 발효미생물의 발효균형기술로 탄생한 제품으로, 국내산 유기농 백미를 사용한 첨가물이 없는 자연 그대로의 제품입니다.",구절판,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,031-354-9376,1,3,2,4
517,우도 땅콩 전통주,리큐르/기타주류,땅콩,"정제수, 전분당, 백미, 국, 땅콩분, 효모, 젖산",6,750,,,저도수,"연간 1,200만 명 이상의 관광객이 드나드는 제주도에 가면 빼놓을 수 없는 관광지인 우도, 우도는 섬이지만 땅이 비옥하여 어업보다는 농업이 발달한 섬입니다. 여기에서 재배하는 땅콩은 작고 고소하기로 소문 나 있는데 이 땅콩을 원료로 고소한 맛과 향과 맛을 그대로 느껴볼 수 있는 술이 있습니다. 청주에서 나오는 조은술 세종의 우도 땅콩 전통주를 소개합니다.","방앗간에서 깨소금을 볶았을 때 나는 고소한 향기를 가지고 있으며, 산미가 적고 단맛이 강하지만 목넘김은 매우 깔끔합니다. 입 안에 기름진 맛이 특징이다. 안주 없이 들이키기 좋은 술입니다.",조은술 세종,충북 청주시 청원구 사천로 18길 5-2,http://www.joeunsulsj.co.kr,043-218-7689,1,4,3,3
518,우도땅콩전통주,탁주,땅콩,"쌀, 땅콩",6,750,,,,"우도는 섬이지만 땅이 비옥하여 어업보다는 농업이 발달한 섬이다. 여기에서 재배하는 땅콩은 작고 고소하기로 소문 나 있는데 이 땅콩을 원료로 고소한 맛과 향과 맛을 그대로 느껴볼 수 있는 술이 우도땅콩전통주다. 방앗간에서 깨소금을 볶았을 때 나는 고소한 향기를 가지고 있으며, 산미가 적고 단맛이 강하지만 목넘김은 매우 깔끔하다. 입 안에 기름진 맛이 특징이다.","우도는 섬이지만 땅이 비옥하여 어업보다는 농업이 발달한 섬이다. 여기에서 재배하는 땅콩은 작고 고소하기로 소문 나 있는데 이 땅콩을 원료로 고소한 맛과 향과 맛을 그대로 느껴볼 수 있는 술이 우도땅콩전통주다. 방앗간에서 깨소금을 볶았을 때 나는 고소한 향기를 가지고 있으며, 산미가 적고 단맛이 강하지만 목넘김은 매우 깔끔하다. 입 안에 기름진 맛이 특징이다.",조은술 세종,충북 청주시 청원구 사천로 18길 5-2,http://www.joeunsulsj.co.kr,043-218-7689,3,3,5,3
519,우렁이쌀 손 막걸리,탁주,쌀,쌀,7.5,750,,,,우렁이 농법으로 100% 무농약 재배한 논산 햅쌀로 빚은 수제 막걸리다. 기존 생 막걸리 3배 이상 긴 시간 동안의 저온숙성 단계를 지나서야 비로소 소비자와 교감할 수 있는 깨끗함과 깊은 맛을 낸다. 부드러운 목 넘김이 특징.,야채 샐러드,양촌양조,충남 논산시 양촌면 매죽헌로1665번길 14-9,http://www.yangchon.co.kr/,041-741-2011,4,3,2,2
520,우렁이쌀 손막걸리 DRY,탁주,쌀,"정제수, 찹쌀, 쌀, 효모, 종국",7.5,500,,,무감미료,화학첨가제가 들어가지 않은 순수한 술입니다. 장기 저온숙성하여 부드러운 목넘김과 감칠맛을 가지고 있습니다.,양념이 강하지 않은 부드럽고 담백한 생선회 및 한식 요리,양촌양조,충남 논산시 양촌면 매죽헌로1665번길 14-9,http://www.yangchon.co.kr/,041-741-2011,2,4,3,3
521,우리밀 막걸리 향수,탁주,쌀,"쌀, 밀, 입국, 누룩, 정제수",9,700,,2017 찾아가는 양조장,,"향수 우리밀 막걸리는 충북 옥천을 대표하는 막걸리로 알코올 도수 9도로 충북에서 자란 금강밀로 생산하고 있습니다. 1930년대 증조부 때부터 옥천에서 술을 빚고 있는 ""이원양조장""은 80여 년에 걸쳐 4대째 술을 빚고 있습니다 우리밀로만 빚은 막걸리 누룩(금강밀)과 입국(우리밀, 조제종국)만을 이용하여 빚습니다. 우리밀의 진한 맛과 향을 느껴보실 수 있습니다.","도리뱅뱅이. 도토리묵, 겉절이, 나물",이원양조장,충청북도 옥천군 이원면 묘목로 113,http://iwonwine.com/new/index.php,043-732-2177,3,3,2,3
522,울금생막걸리 정,탁주,울금,"쌀, 울금",6,750,2013 대한민국우리술품평회 우수상 (생막걸리 부문),,,쌀을 주재료로 한 막걸리에 울금을 첨가하여 특허를 받은 막걸리이다. 입안에서 감도는 울금 특유의 향과 마시고난 후 오랫동안 여운을 주는 감미로운 맛이 일품이다.,"김치전 김치전은 잘 익은 김치의 맛이 배어나와 막걸리와 잘 어울리는 음식인데, 울금 생막걸리 특유의 향이 김치의 텁텁한 맛을 감해주어 더욱 좋다.",영덕주조,경북 영덕군 강구면 소월1길 16-10,http://www.ydjujo.co.kr,054-733-5641,3,3,2,4
523,원매,리큐르/기타주류,매실,"매실원액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",15,750,,,홈술,"제조사 ""더한""에서 제조하는 매실주는 특별합니다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면, 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용합니다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 제품을 만든다는 제품 철학으로 황매를 이용합니다. 또한 천연꿀을 첨가하여 숙취 해소에 도움이 되어 음주 후 머리가 아프지 않은 것이 특징입니다. ""원매""는 황매실 100%로 3년 이상 숙성 시켜 매실청으로 만든 프리미엄 매실주입니다. 국내외 주류품평회에서 수많은 수상 기록이 말해주듯 ""원매""의 제품력은 단연 최고입니다.","황매실을 이용해 맑은 호박색을 가지고 있으며, 매실의 신선한 향이 가득한 것이 특징입니다. 도수가 낮아 누구라도 편하게 즐길 수 있으며 처음 단맛이 올라오지만 뒤에 따라오는 신맛과 적절한 쓴맛의 조화가 잘 갖춰진 술입니다. 입 안의 느낌이 매우 따뜻하고 마시고 난 후에는 여운이 깁니다. 숙주 소고기 볶음 등 약간의 양념이 된 깔끔한 음식과 잘 어울립니다.",더한주류,서울시 은평구 증산로7길 28-13,https://www.thehan.kr/,02-2280-8080,2,0,4,2
524,원매 프리미엄,리큐르/기타주류,매실,"매실원액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",20,750,"샌프란시스코 주류품평회(SWSC) 2년 연속 은상, 영국 주류품평회(IWSC) 은상(2014), 우리술 품평회 리큐르부문 대상(2016)",,,더한주류에서 황매실 100%로 담근 프리미엄 매실주 ‘원매’ 20도를 라벨 리뉴얼하며 새롭게 출시했습니다. 원매는 황매실 100%로 3년 이상 숙성 시킨 프리미엄 매실주로 완숙한 상태에서 수확되는 황매실을 특허받은 제조 기술로 담가 매실 본연의 향미를 더했습니다.,"황매실을 이용해 맑은 호박색을 가지고 있으며, 매실의 신선한 향이 가득한 것이 특징이다. 도수가 낮아 누구라도 편하게 즐길 수 있으며 처음 단맛이 올라오지만 뒤에 따라오는 신맛과 적절한 쓴맛의 조화가 잘 갖춰진 술이다. 입 안의 느낌이 매우 따뜻하고 마시고 난 후에는 여운이 길다. 숙주 소고기 볶음 등 약간의 양념이 된 깔끔한 음식과 잘 어울린다.",더한주류,서울특별시 은평구 증산로7길 28-13,http://www.thehan.kr,02-2280-8080,2,1,4,3
525,미르 25,증류주,쌀,"쌀, 정제수",25,375,2018 대한민국 우리술품평회 대통령상,2017 찾아가는 양조장,파티|선물|칵테일|집들이,"효소제나 효모제 없이 직접 띠운 밀 누룩의 힘으로만 발효하고 고문헌에 기록된 우리 최초의 소주 제조법을 지켜 만드는 전통 증류소주입니다. 25%, 40%, 54%의 3가지 도수로 출시되고 있으며, 향은 세고 강하지만 미세한 단맛이 높은 도수에도 부드러운 목 넘김을 선사합니다.","중화요리, 김치찌개, 삼겹살",술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,http://www.sulseam.com,070-4218-5225,1,0,4,3
